% min: [7.232822, 9.483873, 1.00919, 0.448446, 0.451633, 0.854304, 9.635544, 6.669126] 
% max: [383.032661, 316.851432, 170.252791, 75.799328, 74.505034, 167.726755, 329.469749, 335.216314] 
% i/o: [8, 5] 
@relation 'data10000'
@attribute FD1 numeric
@attribute FD2 numeric
@attribute FD3 numeric
@attribute FD4 numeric
@attribute FD5 numeric
@attribute FD6 numeric
@attribute FD7 numeric
@attribute FD8 numeric
@attribute State {1,2,3,4,5}

@data
53.602985,37.787754,9.256122,6.039771,6.029459,8.770225,36.744877,27.080349,3
52.226979,34.580240,10.005853,5.785258,5.573196,9.410115,34.795425,26.132180,3
51.184330,35.254894,9.844577,8.413473,8.597647,9.147452,34.952151,26.628185,3
51.620406,32.772056,13.185322,8.137975,8.099254,12.528036,33.787949,27.455692,3
51.615239,33.125259,12.997048,8.915639,9.076669,12.398963,33.922966,27.703414,3
51.783258,34.645979,9.825524,7.541254,7.785239,9.959323,33.686329,29.178083,3
50.545862,35.208142,9.560108,7.426016,7.633403,9.423198,34.119741,29.809785,3
51.392595,31.363655,9.760034,7.676356,7.767937,9.308735,31.625469,30.958104,3
46.910657,30.611036,13.822510,9.647875,10.102542,12.750100,30.529191,27.806116,3
43.390331,30.816418,12.688560,7.682535,7.732858,11.996041,30.594330,25.284468,3
45.336266,31.561136,9.210607,7.288657,7.171289,9.281110,31.266268,27.165956,3
43.554269,34.131999,8.665154,7.374801,7.075888,9.012929,33.436219,26.922496,3
43.586663,32.975992,8.905510,7.366556,7.233592,8.683223,32.406364,28.583665,3
40.322279,31.795228,10.666013,8.228075,8.027421,9.966841,32.810099,25.301279,3
38.945445,32.031682,11.394832,8.597691,8.539141,10.655184,32.621737,25.516225,3
39.269731,31.825983,7.582641,7.424273,6.941137,7.612094,31.294797,26.969624,3
34.340686,32.269828,8.603834,8.959955,8.301576,8.967301,31.263272,23.414337,3
32.866549,33.933124,8.224752,7.566307,6.998568,7.887422,33.883477,21.699165,3
34.711874,34.342531,8.767049,8.188434,7.869350,8.350106,34.579348,23.065491,3
33.792125,34.474726,12.631048,8.837709,8.269250,12.264388,34.934614,22.356689,3
34.402795,35.492001,8.814255,8.442659,7.667418,9.018644,35.092726,23.697178,3
34.386055,34.642897,7.590132,8.028036,7.298835,8.032208,34.596439,23.783905,3
37.428317,34.555390,8.003628,7.857792,7.413775,8.319383,33.298728,30.038814,3
35.473875,33.992355,11.490687,9.055590,8.619522,11.382126,33.641106,28.405815,3
33.021384,34.034537,16.780776,9.885648,9.329985,15.912028,33.806745,27.531885,3
37.178380,36.513030,9.425659,8.673832,8.296452,8.709643,36.389865,32.557070,3
38.111010,39.322234,9.329522,8.449560,8.333189,9.136945,37.767353,35.746199,3
34.718043,38.061247,9.383491,8.350546,8.034642,9.254664,37.315385,32.478739,3
33.975557,35.992371,12.444245,9.728097,9.156906,11.686310,35.585590,32.516492,3
33.816385,35.105120,12.605114,9.308123,8.704497,11.540775,34.787108,32.595642,3
35.716160,33.039028,10.156994,8.391949,7.994278,9.199318,33.153015,33.750801,3
34.214546,32.346630,10.872270,8.491209,8.242068,10.501525,32.187450,32.432936,3
35.915652,34.640503,10.880752,8.034982,7.896308,10.333573,33.340061,36.022553,3
35.229565,34.980662,11.162971,10.230295,9.822662,10.127056,35.061701,35.417453,3
35.748681,35.505965,10.558054,6.490048,6.666625,9.469519,35.746809,35.867724,3
35.790263,35.347632,10.609017,6.273453,6.556461,9.547299,35.193881,36.017952,3
36.734609,35.873036,12.012697,5.953970,6.386833,11.754311,34.168952,38.898511,3
37.071678,37.918480,10.386115,6.080276,6.305386,10.216808,37.116814,37.441663,3
